,Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF,Class
115,RJ Trott (BMUDA),2007-2009,3,10,13.0,48,21.66,52.2,0.0,0.0,0.03614457831325301,NRS
116,A Maregwede (ZIM),2003-2005,3,11,11.272727272727273,37,12.4,56.88,0.0,0.0,0.05504587155963303,NRS
117,JE Taylor (WI),2006-2008,3,18,6.777777777777778,43,11.09,97.6,0.0,0.0,0.11199999999999999,NRS
118,JEC Franklin (NZ),2001-2004,4,16,7.25,25,8.92,55.23,0.0,0.0,0.047619047619047616,NRS
119,L Balaji (INDIA),2002-2005,4,15,7.533333333333332,21,12.55,79.57,0.0,0.0,0.07042253521126761,NRS
120,NB Mahwire (ZIM),2004-2006,3,17,6.647058823529411,22,11.3,47.67,0.0,0.0,0.029535864978902957,NRS
121,Shafiul Islam (BDESH),2010-2013,4,27,4.037037037037037,24,5.73,55.89,0.0,0.0,0.06666666666666668,NRS
122,DCC Borden (BMUDA),2006-2008,3,11,8.909090909090908,24,14.0,50.25,0.0,0.0,0.04615384615384616,NRS
123,RP Singh (INDIA),2006-2009,4,17,5.470588235294118,23,9.3,40.08,0.0,0.0,0.02155172413793104,NRS
124,PM Seelaar (NL),2007-2011,5,16,5.6875,34,11.37,55.15,0.0,0.0,0.060606060606060615,NRS
125,CRD Fernando (SL),2001-2003,3,23,3.5217391304347827,13,8.1,52.94,0.0,0.0,0.0457516339869281,NRS
126,ST Finn (ENG),2011-2013,3,12,6.666666666666668,35,13.33,89.88,0.0,0.0,0.12359550561797752,NRS
127,KD Mills (NZ),2001-2003,3,11,7.1818181818181825,23,11.28,46.74,0.0,0.0,0.035502958579881665,NRS
128,SL Malinga (SL),2004-2007,4,17,4.117647058823529,15,7.77,65.42,0.0,0.0,0.04672897196261682,NRS
129,Shahadat Hossain (BDESH),2006-2010,5,21,3.333333333333333,16,7.77,55.11,0.0,0.0,0.06299212598425198,NRS
130,JM Anderson (ENG),2002-2006,5,19,3.631578947368421,12,6.9,36.5,0.0,0.0,0.021164021164021163,NRS
131,DT Hondo (ZIM),2001-2003,3,14,4.357142857142857,15,10.16,42.95,0.0,0.0,0.06338028169014084,NRS
132,Syed Rasel (BDESH),2005-2008,4,18,3.111111111111111,15,4.66,40.28,0.0,0.0,0.03597122302158273,NRS
133,Umar Gul (PAK),2006-2008,3,11,5.0,17,9.16,65.47,0.0,0.0,0.08333333333333333,NRS
134,RAP Nissanka (SL),2001-2003,3,13,4.076923076923077,11,6.62,37.85,0.0,0.0,0.03571428571428571,NRS
