,Player,Span,Years,Inns,NO/I,R/I,Avrg,SR,100/I,50/I,6+4/BF,Class
207,AM Blignaut (ZIM),2001-2004,3,29,0.24137931,16.55172414,21.81,111.36,0.0,0.137931034,0.134570766,RS
142,Naeem Islam (BDESH),2008-2011,3,41,0.341463415,16.36585366,24.85,64.08,0.0,0.048780488,0.063037249,RS
145,JO Holder (WI),2013-2016,3,33,0.272727273,16.21212121,22.29,93.69,0.0,0.060606060999999996,0.11208406300000001,RS
216,PW Borren (NL),2006-2009,3,20,0.0,16.15,16.15,94.72,0.0,0.1,0.099706745,NRS
56,TJ Friend (ZIM),2001-2004,3,32,0.0625,15.96875,17.03,78.37,0.0,0.09375,0.09049079800000001,NRS
202,JDP Oram (NZ),2001-2004,3,50,0.12,15.72,17.86,76.01,0.0,0.06,0.084139265,NRS
50,Mashrafe Mortaza (Asia/BDESH),2004-2007,3,42,0.19047619,15.5952381,19.26,98.34,0.0,0.023809524,0.11561561599999999,NRS
269,Mudassar Bukhari (NL),2007-2010,3,19,0.10526315800000001,14.89473684,16.64,65.35,0.0,0.10526315800000001,0.073903002,NRS
68,BA Stokes (ENG),2011-2014,3,19,0.052631579000000005,14.84210526,15.66,75.8,0.0,0.052631579000000005,0.069892473,NRS
156,CO Obuya (KENYA),2002-2006,4,17,0.058823529000000006,14.82352941,15.75,58.19,0.0,0.0,0.03926097,NRS
164,TC Bastiampillai (CAN),2007-2010,3,11,0.0,14.81818182,14.81,63.42,0.0,0.0,0.105058366,NRS
42,DR Smith (WI),2004-2007,3,52,0.038461537999999997,14.76923077,15.36,101.58,0.0,0.038461537999999997,0.12962963,NRS
273,FDM Karunaratne (SL),2011-2015,4,13,0.076923077,14.61538462,15.83,68.84,0.0,0.076923077,0.050724637999999996,NRS
214,SD Outerbridge (BMUDA),2006-2009,3,23,0.0,14.60869565,14.6,54.9,0.0,0.043478261,0.052287582,NRS
49,MF Maharoof (SL),2004-2008,4,47,0.25531914899999997,14.59574468,19.6,84.06,0.0,0.042553191,0.094362745,RS
213,CR Woakes (ENG),2011-2015,4,24,0.208333333,14.08333333,17.78,78.06,0.0,0.0,0.057736721,NRS
79,WD Parnell (SA),2009-2012,3,13,0.23076923100000002,14.0,18.2,74.89,0.0,0.0,0.06584362099999999,NRS
52,D Ramdin (WI),2005-2009,4,43,0.302325581,13.81395349,19.8,79.41,0.0,0.046511628,0.072192513,RS
81,KS Lokuarachchi (SL),2003-2006,3,13,0.153846154,13.38461538,15.81,78.02,0.0,0.076923077,0.049327354000000004,NRS
87,CS Baugh (WI),2003-2006,3,11,0.454545455,13.27272727,24.33,81.56,0.0,0.0,0.094972067,RS
261,AB Agarkar (INDIA),2001-2004,3,44,0.318181818,13.27272727,19.46,88.21,0.0,0.045454545,0.096676737,RS
57,NLTC Perera (SL),2009-2013,4,39,0.179487179,12.97435897,15.81,110.48,0.0,0.025641026,0.120087336,NRS
86,Gulbadin Naib (AFG),2011-2015,4,12,0.166666667,12.66666667,15.2,90.47,0.0,0.0,0.113095238,NRS
76,HS Baidwan (CAN),2008-2011,3,16,0.4375,12.5625,22.33,67.0,0.0,0.0,0.04,NRS
223,J Botha (Afr/SA),2005-2008,3,14,0.35714285700000004,11.57142857,18.0,86.63,0.0,0.0,0.080213904,RS
220,U Bhatti (CAN),2006-2009,3,21,0.28571428600000004,11.42857143,16.0,76.43,0.0,0.0,0.073248408,RS
271,Sohail Tanvir (PAK),2008-2011,3,19,0.31578947399999996,11.31578947,16.53,89.21,0.0,0.052631579000000005,0.10788381699999999,RS
71,NS Poonia (SCOT),2006-2009,3,21,0.0,11.28571429,11.28,62.86,0.0,0.047619048,0.087533156,NRS
217,NN Odhiambo (KENYA),2006-2009,3,28,0.214285714,11.28571429,14.36,76.88,0.0,0.035714286,0.085158151,RS
168,R Clarke (ENG),2003-2006,3,13,0.0,11.07692308,11.07,62.06,0.0,0.0,0.056034482999999996,NRS
266,R Ashwin (INDIA),2010-2013,3,34,0.352941176,11.05882353,17.09,83.37,0.0,0.0,0.073170732,RS
275,RML Taylor (SCOT),2013-2016,3,14,0.214285714,11.0,14.0,89.53,0.0,0.0,0.081395349,RS
90,AF Milne (NZ),2012-2016,4,12,0.5,10.83333333,21.66,98.48,0.0,0.0,0.083333333,RS
227,M Morkel (Afr/SA),2007-2010,3,10,0.3,10.2,14.57,94.44,0.0,0.0,0.12037037,RS
272,DO Obuya (KENYA),2002-2006,4,21,0.095238095,9.904761905,10.94,47.59,0.0,0.047619048,0.052631579000000005,NRS
279,RJ Peterson (SA),2002-2006,4,10,0.1,9.8,10.88,66.21,0.0,0.0,0.060810811,NRS
163,LE Plunkett (ENG),2006-2010,4,17,0.529411765,9.705882353,20.62,97.63,0.0,0.0,0.071005917,NRS
55,P Utseya (ZIM),2005-2009,4,53,0.32075471699999997,9.679245283,14.25,53.21,0.0,0.037735849,0.037344398,NRS
221,DNT Zoysa (SL),2001-2004,3,24,0.5,9.541666667000001,19.08,106.01,0.0,0.0,0.12037037,RS
73,P Kumar (INDIA),2007-2010,3,24,0.291666667,9.375,13.23,85.22,0.0,0.041666667000000004,0.09469697,RS
66,SCJ Broad (ENG),2006-2010,4,37,0.37837837799999996,9.135135135,14.69,74.12,0.0,0.0,0.057017544,NRS
82,ML Nkala (ZIM),2001-2005,4,19,0.21052631600000002,9.105263158,11.53,58.44,0.0,0.0,0.050675675999999996,NRS
150,Harbhajan Singh (INDIA),2001-2005,4,44,0.25,9.068181818,12.09,78.69,0.0,0.0,0.08678501,RS
225,R Rampaul (WI),2007-2010,3,15,0.066666667,8.666666667000001,9.28,82.8,0.0,0.0,0.10191082800000001,NRS
172,RT Lyons (SCOT),2006-2009,3,10,0.7,8.6,28.66,61.42,0.0,0.0,0.057142857000000005,NRS
218,SP Narine (WI),2011-2014,3,32,0.1875,8.5,10.46,78.61,0.0,0.0,0.09826589599999999,NRS
70,Tapash Baisya (BDESH),2003-2006,3,30,0.26666666699999997,8.166666667000001,11.13,57.37,0.0,0.0,0.049180327999999995,NRS
154,DL Vettori (NZ),2001-2004,3,44,0.318181818,7.75,11.36,69.73,0.0,0.0,0.05112474400000001,NRS
94,L Balaji (INDIA),2002-2005,3,15,0.4,7.533333333,12.55,79.57,0.0,0.0,0.070422535,NRS
95,GH Dockrell (IRE),2013-2016,3,15,0.533333333,7.533333333,16.14,67.26,0.0,0.0,0.047619048,NRS
274,Iftikhar Anjum (PAK),2004-2007,3,23,0.6521739129999999,7.3478260870000005,21.12,58.88,0.0,0.0,0.034843206,NRS
165,B Kumar (INDIA),2012-2015,3,22,0.22727272699999998,7.318181817999999,9.47,80.5,0.0,0.0,0.085,RS
277,M Ntini (SA),2001-2004,3,16,0.5,7.3125,14.62,74.52,0.0,0.0,0.089171975,RS
92,JEC Franklin (NZ),2001-2004,3,16,0.1875,7.25,8.92,55.23,0.0,0.0,0.047619048,NRS
169,KD Mills (NZ),2001-2004,3,18,0.38888888899999996,7.222222222,11.81,48.68,0.0,0.0,0.037453184,NRS
162,JE Taylor (WI),2006-2009,3,25,0.28,7.04,9.77,86.69,0.0,0.0,0.098522167,RS
219,Z Khan (INDIA),2001-2004,3,39,0.35897435899999997,6.897435897,10.76,74.72,0.0,0.0,0.08611111099999999,RS
282,DW Steyn (SA),2007-2010,3,12,0.41666666700000005,6.833333333,11.71,102.5,0.0,0.0,0.1,RS
75,TG Southee (NZ),2008-2012,4,31,0.387096774,6.709677419,10.94,88.51,0.0,0.0,0.080851064,RS
89,T Mupariwa (ZIM),2006-2009,3,21,0.333333333,6.523809524,9.78,52.69,0.0,0.0,0.042307692,NRS
170,HA Varaiya (KENYA),2006-2009,3,20,0.5,6.5,13.0,47.44,0.0,0.0,0.02189781,NRS
161,Abdur Razzak (BDESH),2004-2007,3,29,0.517241379,6.206896552000001,12.85,72.28,0.0,0.0,0.060240964,NRS
175,SO Ngoche (KENYA),2010-2014,4,11,0.272727273,6.181818182000001,8.5,57.62,0.0,0.0,0.042372880999999994,NRS
