,id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
192,192,JO Ngoche (KENYA),2010-2012,3,10,3.4,21,4.85,40.96,0.0,0.0,0.024096386,NRS
193,193,KMDN Kulasekara (SL),2003-2007,5,11,3.0,11,6.6,34.73,0.0,0.0,0.010526316,NRS
194,194,MM Patel (INDIA),2006-2008,3,11,2.9090909089999997,15,5.33,53.33,0.0,0.0,0.05,NRS
195,195,S Sreesanth (INDIA),2005-2008,4,13,2.230769231,10,4.14,34.52,0.0,0.0,0.011904762,NRS
196,196,Mohammad Asif (Asia/PAK),2005-2007,3,10,2.8,6,4.66,37.83,0.0,0.0,0.027027027000000002,NRS
197,197,Shapoor Zadran (AFG),2009-2012,4,10,2.0,17,4.0,40.81,0.0,0.0,0.06122449,NRS
198,198,DPMD Jayawardene (SL),2001-2003,3,78,29.14102564,116,32.47,72.64,0.038461537999999997,0.141025641,0.060722275,NRS
199,199,Younis Khan (PAK),2001-2003,3,74,28.75675676,90,34.32,74.66,0.0,0.243243243,0.060350877000000004,NRS
200,200,KC Sangakkara (SL),2001-2003,3,76,23.52631579,103,26.68,70.0,0.026315789,0.092105263,0.070869225,NRS
201,201,HH Dippenaar (SA),2001-2003,3,42,37.47619048,93,44.97,66.07,0.0,0.333333333,0.06675063,NRS
202,202,KP Pietersen (ENG/ICC),2004-2006,3,27,46.96296296,116,60.38,97.16,0.111111111,0.333333333,0.11877394599999999,RS
203,203,A Flintoff (ENG),2001-2003,3,43,27.25581395,70,33.48,90.57,0.0,0.209302326,0.114374034,RS
204,204,DA Warner (AUS),2009-2012,4,34,30.88235294,163,30.88,81.83,0.058823529000000006,0.147058824,0.092751364,RS
205,205,D Mongia (INDIA),2001-2003,3,41,24.36585366,159,27.75,73.13,0.024390244,0.073170732,0.08272328,RS
206,206,TLW Cooper (NL),2010-2012,3,19,48.21052632,101,53.88,71.0,0.052631579000000005,0.42105263200000004,0.063565891,NRS
207,207,DA Gunawardene (SL),2001-2003,3,23,28.39130435,90,28.39,65.89,0.0,0.17391304300000002,0.073662967,NRS
208,208,AB Agarkar (INDIA),2001-2003,3,37,11.86486486,95,18.29,92.22,0.0,0.027027027000000002,0.102941176,NRS
209,209,ES Szwarczynski (NL),2006-2008,3,13,30.30769231,56,32.83,69.61,0.0,0.307692308,0.072438163,NRS
210,210,RM Haq (SCOT),2006-2008,3,18,21.0,71,21.0,68.1,0.0,0.166666667,0.088288288,NRS
211,211,DS Smith (WI),2004-2007,4,14,25.57142857,61,29.83,65.8,0.0,0.071428571,0.073529412,NRS
212,212,DJG Sammy (WI),2007-2009,3,22,15.95454545,51,20.64,87.31,0.0,0.045454545,0.08457711400000001,NRS
213,213,SD Outerbridge (BMUDA),2006-2009,4,23,14.60869565,56,14.6,54.9,0.0,0.043478261,0.052287582,NRS
214,214,F Mutizwa (ZIM),2009-2011,3,12,27.33333333,79,32.8,86.08,0.0,0.25,0.09186351699999999,RS
215,215,NN Odhiambo (KENYA),2006-2009,4,28,11.28571429,66,14.36,76.88,0.0,0.035714286,0.085158151,NRS
216,216,DLS van Bunge (NL),2006-2008,3,15,19.66666667,52,21.07,63.44,0.0,0.066666667,0.068817204,NRS
217,217,ID Blackwell (ENG),2002-2004,3,17,16.58823529,82,17.62,94.31,0.0,0.058823529000000006,0.107023411,NRS
218,218,J Mubarak (SL),2003-2006,4,15,18.8,61,18.8,61.03,0.0,0.133333333,0.07359307400000001,NRS
