,Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF,Class
166,Faisal Iqbal (PAK),2003-2006,3,9,0.0,16.333333333333332,16.33,50.0,0.0,0.0,0.037414965986394565,NA
167,J Mubarak (SL),2002-2006,4,9,0.0,16.333333333333332,16.33,58.8,0.0,0.1111111111111111,0.068,NA
168,R Clarke (ENG),2003-2006,3,13,0.0,11.076923076923077,11.07,62.06,0.0,0.0,0.05603448275862069,NA
169,KD Mills (NZ),2001-2004,3,18,0.3888888888888889,7.222222222222222,11.81,48.68,0.0,0.0,0.03745318352059925,NA
170,HA Varaiya (KENYA),2006-2009,3,20,0.5,6.5,13.00,47.44,0.0,0.0,0.021897810218978103,NA
171,Umar Gul (PAK),2006-2009,3,18,0.3888888888888889,6.166666666666668,10.09,70.7,0.0,0.0,0.08280254777070062,NA
172,RT Lyons (SCOT),2006-2009,3,10,0.7,8.6,28.66,61.42,0.0,0.0,0.057142857142857134,NA
173,DT Hondo (ZIM),2001-2004,3,22,0.4545454545454545,3.863636363636364,7.08,44.27,0.0,0.0,0.05729166666666665,NA
174,CRD Fernando (SL),2001-2004,3,24,0.5416666666666666,3.375,7.36,52.59,0.0,0.0,0.045454545454545456,NA
175,SO Ngoche (KENYA),2010-2014,4,11,0.2727272727272727,6.1818181818181825,8.50,57.62,0.0,0.0,0.0423728813559322,NA
176,A Nehra (INDIA),2001-2004,3,16,0.625,3.8125,10.16,72.61,0.0,0.0,0.09523809523809523,NA
177,NM Odhiambo (KENYA),2010-2013,3,5,0.0,11.0,11.00,48.67,0.0,0.0,0.02654867256637168,NA
178,BV Vitori (ZIM),2011-2014,3,9,0.2222222222222222,6.111111111111112,7.85,91.66,0.0,0.0,0.13333333333333333,NA
179,Junaid Khan (PAK),2011-2014,3,20,0.5,2.55,5.10,51.0,0.0,0.0,0.04,NA
180,Hammad Azam (PAK),2012-2015,3,3,0.0,12.666666666666664,12.66,70.37,0.0,0.0,0.07407407407407407,NA
181,KW Richardson (AUS),2013-2016,3,4,0.5,7.5,15.00,157.89,0.0,0.0,0.21052631578947367,NA
182,S Sreesanth (INDIA),2005-2008,3,13,0.4615384615384616,2.230769230769231,4.14,34.52,0.0,0.0,0.011904761904761904,NA
183,DAJ Bracewell (NZ),2011-2015,4,5,0.2,5.4,6.75,56.25,0.0,0.0,0.02083333333333333,NA
184,EC Rainsford (ZIM),2006-2009,3,16,0.6875,1.6875,5.40,29.34,0.0,0.0,0.0,NA
185,MMA Jonkman (NL),2007-2010,3,2,0.0,10.0,10.00,39.21,0.0,0.0,0.0392156862745098,NA
186,Shapoor Zadran (AFG),2009-2012,3,10,0.5,2.0,4.00,40.81,0.0,0.0,0.061224489795918366,NA
187,FH Edwards (WI),2003-2006,3,8,0.625,2.25,6.00,32.72,0.0,0.0,0.0,NA
188,AS Luseno (KENYA),2003-2006,3,5,0.8,3.4,17.00,85.0,0.0,0.0,0.1,NA
189,JE Root (ENG),2013-2016,3,73,0.0958904109589041,41.328767123287676,45.71,85.51,0.1095890410958904,0.2328767123287671,0.07709750566893424,NA
190,V Sehwag (INDIA),2001-2004,3,98,0.061224489795918366,30.489795918367342,32.47,94.73,0.061224489795918366,0.14285714285714285,0.14552948636651872,NA
191,MS Dhoni (Asia/INDIA),2004-2007,3,68,0.2794117647058824,33.85294117647059,46.97,98.75,0.04411764705882353,0.19117647058823528,0.11196911196911197,NA
192,MJ Guptill (NZ),2009-2012,3,63,0.09523809523809523,34.142857142857146,37.73,80.62,0.031746031746031744,0.2698412698412698,0.0944527736131934,NA
193,MDKJ Perera (SL),2013-2016,3,56,0.05357142857142857,26.839285714285715,28.35,91.59,0.05357142857142857,0.125,0.11761121267519806,NA
194,RL Powell (WI),2001-2004,3,62,0.2258064516129032,21.080645161290324,27.22,96.74,0.0,0.08064516129032258,0.12065136935603255,NA
195,RS Bopara (ENG),2007-2011,4,47,0.1702127659574468,23.59574468085107,28.43,71.82,0.0,0.0851063829787234,0.06930051813471502,NA
