id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
208,MJ Prior (ENG),2004-2007,3,22,21.31818182,52,21.31,72.93,0,0.045454545,0.093312597,NA
209,Imran Nazir (PAK),2004-2007,3,17,26.11764706,160,26.11,98.88,0.058823529,0.058823529,0.151447661,NA
210,PL Mommsen (SCOT),2010-2013,3,19,21.47368421,91,24,56.04,0,0.157894737,0.049450549,NA
211,Samiullah Shenwari (AFG),2009-2012,3,16,23.5,82,26.85,62.98,0,0.125,0.060301508,NA
212,DS Smith (WI),2004-2007,3,14,25.57142857,61,29.83,65.8,0,0.071428571,0.073529412,NA
213,CR Woakes (ENG),2011-2015,4,24,14.08333333,41,17.78,78.06,0,0,0.057736721,NA
214,SD Outerbridge (BMUDA),2006-2009,3,23,14.60869565,56,14.6,54.9,0,0.043478261,0.052287582,NA
215,GEF Barnett (CAN),2006-2009,3,16,20.75,77,20.75,61.59,0,0.0625,0.077922078,NA
216,PW Borren (NL),2006-2009,3,20,16.15,96,16.15,94.72,0,0.1,0.099706745,NA
217,NN Odhiambo (KENYA),2006-2009,3,28,11.28571429,66,14.36,76.88,0,0.035714286,0.085158151,NA
218,SP Narine (WI),2011-2014,3,32,8.5,36,10.46,78.61,0,0,0.098265896,NA
219,Z Khan (INDIA),2001-2004,3,39,6.897435897,34,10.76,74.72,0,0,0.086111111,NA
220,U Bhatti (CAN),2006-2009,3,21,11.42857143,46,16,76.43,0,0,0.073248408,NA
221,DNT Zoysa (SL),2001-2004,3,24,9.541666667,47,19.08,106.01,0,0,0.12037037,NA
222,JM Bairstow (ENG),2011-2015,4,9,24.33333333,83,27.37,86.22,0,0.111111111,0.102362205,NA
223,J Botha (Afr/SA),2005-2008,3,14,11.57142857,46,18,86.63,0,0,0.080213904,NA
224,DR Tuffey (NZ),2001-2004,3,35,4.085714286,20,7.94,60.08,0,0,0.058823529,NA
225,R Rampaul (WI),2007-2010,3,15,8.666666667,26,9.28,82.8,0,0,0.101910828,NA
226,TL Chatara (ZIM),2013-2016,3,20,5.25,23,10.5,57.69,0,0,0.06043956,NA
227,M Morkel (Afr/SA),2007-2010,3,10,10.2,25,14.57,94.44,0,0,0.12037037,NA
228,BAW Mendis (SL),2008-2011,3,22,4.5,15,7.61,68.75,0,0,0.048611111,NA
229,Kabir Ali (ENG),2003-2006,3,9,10.33333333,39,15.5,86.11,0,0,0.083333333,NA
230,SI Mahmood (ENG),2004-2007,3,15,5.666666667,22,7.72,84.15,0,0,0.089108911,NA
231,JA Morkel (Afr/SA),2004-2007,3,8,10.625,23,12.14,73.91,0,0,0.086956522,NA
232,Wahab Riaz (PAK),2008-2011,3,15,5.333333333,21,7.27,86.02,0,0,0.096774194,NA
233,ST Finn (ENG),2011-2015,4,21,3.761904762,18,6.58,48.76,0,0,0.043209877,NA
234,MK Tiwary (INDIA),2008-2011,3,5,12.2,24,12.2,66.3,0,0,0.076086957,NA
235,SC Joseph (WI),2001-2004,3,5,11.8,23,14.75,43.38,0,0,0.022058824,NA
236,JL Ontong (Afr/SA),2002-2005,3,9,5.888888889,11,6.62,59.55,0,0,0.056179775,NA
237,TA Boult (NZ),2012-2015,3,10,5.2,21,13,75.36,0,0,0.101449275,NA
238,MM Patel (INDIA),2006-2009,3,15,3.466666667,15,7.42,66.66,0,0,0.076923077,NA
239,RO Hussain (SCOT),2007-2010,3,6,7.833333333,17,9.4,47.95,0,0,0.051020408,NA
240,Hamid Hassan (AFG),2009-2013,4,7,6,17,7,60.86,0,0,0.057971014,NA
241,Dawlat Zadran (AFG),2011-2014,3,9,4.222222222,12,5.42,36.53,0,0,0.038461538,NA
242,Yasir Arafat (PAK),2005-2008,3,4,9.5,27,19,76,0,0,0.1,NA
243,JO Ngoche (KENYA),2010-2013,3,11,3.181818182,21,5,41.17,0,0,0.023529412,NA
244,Mohammad Asif (Asia/PAK),2005-2008,3,11,3,6,5.5,42.85,0,0,0.025974026,NA
245,MC Henriques (AUS),2009-2013,4,5,6.4,12,8,61.53,0,0,0,NA
246,Farhad Reza (BDESH),2008-2011,3,6,5,21,6,34.48,0,0,0.022988506,NA
247,KC Sangakkara (SL),2001-2004,3,98,28.54081633,103,32.9,72.51,0.030612245,0.173469388,0.070780399,NA
248,DPMD Jayawardene (SL),2001-2004,3,90,29.66666667,116,32.96,71.52,0.033333333,0.155555556,0.056790785,NA
