Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
DR Tuffey (NZ),2001-2004,3,35,4.085714285714285,20,7.94,60.08,0.0,0.0,0.058823529411764705
R Rampaul (WI),2007-2010,3,15,8.666666666666666,26,9.28,82.80,0.0,0.0,0.10191082802547771
M Morkel (Afr/SA),2007-2010,3,10,10.2,25,14.57,94.44,0.0,0.0,0.12037037037037036
BAW Mendis (SL),2008-2011,3,22,4.5,15,7.61,68.75,0.0,0.0,0.04861111111111111
Kabir Ali (ENG),2003-2006,3,9,10.333333333333334,39,15.50,86.11,0.0,0.0,0.08333333333333333
SI Mahmood (ENG),2004-2007,3,15,5.666666666666667,22,7.72,84.15,0.0,0.0,0.0891089108910891
JA Morkel (Afr/SA),2004-2007,3,8,10.625,23,12.14,73.91,0.0,0.0,0.08695652173913043
Wahab Riaz (PAK),2008-2011,3,15,5.333333333333333,21,7.27,86.02,0.0,0.0,0.0967741935483871
ST Finn (ENG),2011-2014,3,16,4.4375,18,8.87,64.54,0.0,0.0,0.06363636363636363
MK Tiwary (INDIA),2008-2011,3,5,12.2,24,12.20,66.30,0.0,0.0,0.07608695652173914
SC Joseph (WI),2001-2004,3,5,11.8,23,14.75,43.38,0.0,0.0,0.022058823529411766
JL Ontong (Afr/SA),2002-2005,3,9,5.888888888888889,11,6.62,59.55,0.0,0.0,0.056179775280898875
MM Patel (INDIA),2006-2009,3,15,3.466666666666667,15,7.42,66.66,0.0,0.0,0.07692307692307693
RO Hussain (SCOT),2007-2010,3,6,7.833333333333333,17,9.40,47.95,0.0,0.0,0.05102040816326531
Hamid Hassan (AFG),2009-2013,4,7,6.0,17,7.00,60.86,0.0,0.0,0.057971014492753624
Dawlat Zadran (AFG),2011-2014,3,9,4.222222222222222,12,5.42,36.53,0.0,0.0,0.038461538461538464
Yasir Arafat (PAK),2005-2008,3,4,9.5,27,19.00,76.00,0.0,0.0,0.1
JO Ngoche (KENYA),2010-2013,3,11,3.1818181818181817,21,5.00,41.17,0.0,0.0,0.023529411764705882
Mohammad Asif (Asia/PAK),2005-2008,3,11,3.0,6,5.50,42.85,0.0,0.0,0.025974025974025976
