Player,Span,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
Kamran Akmal (PAK),2002-2007,52,0.11538461538461539,22.78846153846154,25.76,79.26,0.057692307692307696,0.038461538461538464,0.10167224080267559
JA Rudolph (Afr/SA),2003-2006,39,0.15384615384615385,30.102564102564102,35.57,68.05,0.0,0.1794871794871795,0.06608695652173913
RS Bopara (ENG),2007-2011,50,0.14,23.28,27.06,71.45,0.0,0.08,0.06998158379373849
A Flintoff (ENG),2001-2003,42,0.19047619047619047,27.523809523809526,34.00,90.59,0.0,0.21428571428571427,0.11442006269592477
L Vincent (NZ),2001-2003,59,0.11864406779661017,18.677966101694917,21.19,56.42,0.0,0.06779661016949153,0.04505888376856119
SC Williams (ZIM),2006-2011,42,0.14285714285714285,26.0,30.33,73.09,0.0,0.2619047619047619,0.06091030789825971
BB McCullum (NZ),2002-2007,64,0.15625,17.0,20.14,81.55,0.0,0.046875,0.08320839580209895
Nasir Jamshed (PAK),2012-2015,36,0.027777777777777776,29.583333333333332,30.42,69.51,0.08333333333333333,0.1111111111111111,0.07441253263707572
C Kieswetter (ENG),2010-2013,40,0.125,26.35,30.11,89.93,0.025,0.125,0.11774744027303755
DA Warner (AUS),2009-2012,34,0.0,30.88235294117647,30.88,81.83,0.058823529411764705,0.14705882352941177,0.09275136399064692
CJ Anderson (NZ),2013-2016,40,0.125,26.175,29.91,111.02,0.025,0.1,0.14316012725344646
Nasir Hossain (BDESH),2011-2016,38,0.15789473684210525,27.05263157894737,32.12,79.75,0.02631578947368421,0.10526315789473684,0.07757951900698215
Yasir Hameed (PAK),2003-2004,24,0.041666666666666664,42.5,44.34,69.52,0.08333333333333333,0.2916666666666667,0.07566462167689161
AA Obanda (KENYA),2008-2013,40,0.025,25.45,26.10,74.14,0.0,0.15,0.09613983976693372
KD Karthik (INDIA),2006-2010,43,0.16279069767441862,23.41860465116279,27.97,75.09,0.0,0.11627906976744186,0.08650260999254288
D Mongia (INDIA),2001-2003,41,0.12195121951219512,24.365853658536587,27.75,73.13,0.024390243902439025,0.07317073170731707,0.08272327964860908
Imran Nazir (PAK),2002-2007,39,0.02564102564102564,25.53846153846154,26.21,88.21,0.02564102564102564,0.1282051282051282,0.13020372010628875
CJ Chibhabha (ZIM),2006-2011,48,0.0,20.333333333333332,20.33,59.87,0.0,0.14583333333333334,0.05337423312883435
BA Stokes (ENG),2011-2016,35,0.11428571428571428,27.285714285714285,30.80,95.50,0.02857142857142857,0.17142857142857143,0.108
Imran Farhat (PAK),2003-2006,29,0.034482758620689655,31.93103448275862,33.07,70.63,0.034482758620689655,0.20689655172413793,0.09000762776506484
TLW Cooper (NL),2010-2012,19,0.10526315789473684,48.21052631578947,53.88,71.00,0.05263157894736842,0.42105263157894735,0.06356589147286822
SR Watson (AUS),2002-2007,38,0.3684210526315789,24.026315789473685,38.04,81.22,0.0,0.18421052631578946,0.0809608540925267
GC Wilson (IRE),2007-2011,34,0.08823529411764706,26.705882352941178,29.29,77.34,0.029411764705882353,0.17647058823529413,0.09114139693356048
G Gambhir (INDIA),2003-2007,32,0.09375,28.1875,31.10,75.67,0.0625,0.15625,0.09899328859060402
JWA Taylor (ENG),2011-2015,26,0.19230769230769232,34.11538461538461,42.23,80.12,0.038461538461538464,0.2692307692307692,0.07317073170731707
Babar Azam (PAK),2015-2016,18,0.05555555555555555,49.22222222222222,52.11,93.55,0.16666666666666666,0.2777777777777778,0.0908130939809926
JJ Roy (ENG),2015-2016,24,0.08333333333333333,36.416666666666664,39.72,105.17,0.125,0.125,0.1371841155234657
J Charles (WI),2012-2014,30,0.0,28.966666666666665,28.96,80.46,0.06666666666666667,0.06666666666666667,0.10833333333333334
AN Cook (ENG),2006-2010,26,0.0,33.0,33.00,71.38,0.038461538461538464,0.19230769230769232,0.07820299500831947
GJ Maxwell (AUS),2012-2014,31,0.16129032258064516,27.516129032258064,32.80,121.16,0.0,0.25806451612903225,0.15482954545454544
Mohammad Shahzad (AFG),2009-2013,25,0.04,33.76,35.16,91.73,0.12,0.12,0.11956521739130435
HJH Marshall (NZ),2003-2004,28,0.21428571428571427,29.75,37.86,74.17,0.03571428571428571,0.2857142857142857,0.05431878895814782
PJ Hughes (AUS),2013-2014,24,0.041666666666666664,34.416666666666664,35.91,75.09,0.08333333333333333,0.16666666666666666,0.08727272727272728
RR Rossouw (SA),2014-2015,25,0.08,33.04,35.91,94.83,0.08,0.16,0.11595866819747416
KJ O'Brien (IRE),2007-2009,29,0.10344827586206896,28.448275862068964,31.73,77.46,0.034482758620689655,0.13793103448275862,0.08169014084507042
RV Uthappa (INDIA),2006-2008,34,0.14705882352941177,23.11764705882353,27.10,91.92,0.0,0.14705882352941177,0.1286549707602339
KOA Powell (WI),2011-2014,26,0.0,29.5,29.50,81.85,0.0,0.2692307692307692,0.10885805763073639
JH Kallis (SA),2001-2001,15,0.13333333333333333,50.666666666666664,58.46,74.14,0.13333333333333333,0.3333333333333333,0.05365853658536585
Anamul Haque (BDESH),2013-2015,22,0.0,34.31818181818182,34.31,69.71,0.09090909090909091,0.13636363636363635,0.07479224376731301
A Bagai (CAN),2003-2007,26,0.15384615384615385,28.692307692307693,33.90,64.58,0.07692307692307693,0.15384615384615385,0.05974025974025974
IK Pathan (INDIA),2005-2008,40,0.15,18.625,21.91,72.89,0.0,0.075,0.09980430528375733
